sentence,dialect ,diction_label
Pre magkano ba ang pamasahe sa dyip papunta sa dasma ngayon?  ,Cavite,
Pre narinig mo ba ang bulyaw ng tsuper doon sa may terminal kanina?  ,Cavite,
"Huwag kang epal sa usapan pre, wala ka namang alam sa nangyari.  ",Cavite,
Naka-chamba na naman ng libreng tsibog ang tropa natin sa kanto.  ,Cavite,
"Huwag mo akong ma-lowbatan dito, alam ko ang istilo mo pre.  ",Cavite,
Naka-jackpot kami sa ukay-ukay dahil madaming magagandang porma ng jacket.  ,Cavite,
"Huwag kang pabebe riyan tol, bilisan mo ang pag-ayos ng gamit mo.  ",Cavite,
Naka-iskor ng mataas na puntos si kuya sa huling laro ng basketball.  ,Cavite,
"Huwag kang praning pre, walang kukuha ng motor mo sa labas ng gate.  ",Cavite,
Naka-freebie ang tropa ng malamig na inumin galing doon sa may-ari.  ,Cavite,
"Huwag kang pasikat sa harap ng guro natin, nakakairita ka tol.  ",Cavite,
Naka-score kami ng murang ticket para sa concert na gaganapin bukas.  ,Cavite,
Huwag kang umasta na parang astig kung hindi mo naman kaya tol.  ,Cavite,
Naka-benta sila ng madaming paninda dahil sa ganda ng pwesto nila.  ,Cavite,
" pre, tsibog na tayo habang mainit pa ang pagkain.  ",Cavite,
 parang sobrang traffic na naman ngayon dito sa aguinaldo highway.  ,Cavite,
" ano, saan ba talaga ang tamang tambayan ng tropa mamaya?  ",Cavite,
" kumbaga, sandale lang at tatapusin ko lang itong ginagawa ko.  ",Cavite,
" pre, astig talaga ng kulay ng bago mong motor ngayon ah.  ",Cavite,
 parang male-late na tayo sa klase dahil sa bagal ng dyip.  ,Cavite,
" kumbaga, chibog muna tayo sa tabi-tabi bago tayo tuluyang umuwi.  ",Cavite,
" ano, malapit na ba tayo sa may dulo ng mahabang pila?  ",Cavite,
" pre, bilisan mo ang paglakad at baka isara na ang gate.  ",Cavite,
 parang ingay ng mga tricycle sa labas ng aming silid-aralan.  ,Cavite,
" kumbaga, pabalot naman nung natirang pagkain natin kanina sa mesa.  ",Cavite,
" ano, napanood mo ba ang magandang laro ng koponan natin kahapon?  ",Cavite,
Mag-log in ka muna sa facebook account mo para makita mo ang post sa group page.  ,Cavite,
I-check mo pre kung online na si sir sa chat para maitanong natin ang assignment.  ,Cavite,
Naka-receive ako ng confirmation text tungkol sa application natin kanina sa opisina.  ,Cavite,
I-print mo tol ang hard copy ng data table para maisama sa files.  ,Cavite,
Naka-save ba sa flash drive ang presentation na gagamitin natin bukas ng umaga?  ,Cavite,
Mag-download ka muna ng bagong software bago mo simulan ang pag-update ng system.  ,Cavite,
Naka-block ang wifi ng unibersidad kapag sinubukan mong mag-open ng gaming sites.  ,Cavite,
I-forward mo sa email ko ang soft copy ng program outline para ma-review ko.  ,Cavite,
Naka-schedule ang final defense natin sa next week ayon sa ating adviser.  ,Cavite,
I-cancel mo ang booking ng sasakyan dahil nagbago ang plano ng buong tropa.  ,Cavite,
Naka-post sa student portal ang listahan ng mga kailangang dalhin para sa enrollment.  ,Cavite,
I-verify mo muna sa mobile app kung pumasok na ang bayad ng customer sa account.  ,Cavite,
Ang presko naman ng hangin dito sa may tabing-bundok.  ,Rizal,
Tara sa may talon mamaya pagkatapos ng ating klase.  ,Rizal,
Masarap mag-bike rito sa amin dahil sementado na ang kalsada.  ,Rizal,
Ang tahimik dito kapag umaga kaya masarap magpahinga.  ,Rizal,
Dito tayo dumaan sa shortcut para iwas sa trapik sa bayan.  ,Rizal,
Parang malamig ngayon sa Antipolo lalo na kapag gabi.  ,Rizal,
Ang daming turista ngayon dahil buwan ng pamamasyal dito.  ,Rizal,
Masarap tumambay sa overlooking habang umiinom ng mainit na kape.  ,Rizal,
Tahimik sa probinsya kapag gabi na at wala nang sasakyan.  ,Rizal,
Dito muna tayo sa may ilalim ng puno sumilong saglit.  ,Rizal,
Ang ganda ng bundok pagkatapos umulan nang malakas kanina.  ,Rizal,
Masarap mag-hiking dito kasama ang mga kaibigan tuwing weekend.  ,Rizal,
Parang mahangin ngayong gabi kaya kailangan kong mag-jacket.  ,Rizal,
Hintayin muna natin sila rito sa tapat ng arko.  ,Rizal,
Dito tayo magpahinga sandali bago tayo magpatuloy sa pag-akyat.  ,Rizal,
Naiiyak ako sa sobrang pagod pero napawi ang lahat nang makita ko ang ganda ng tanawin mula sa tuktok ng bundok.  ,Rizal,
Sobra ang kaba ko habang binabaybay namin ang matarik na ahon sa may pililla kanina.  ,Rizal,
Natatakot ako kapag sumasapit ang dilim dito sa daan at wala pa kaming kasamang iba sa pagbibisikleta.  ,Rizal,
Napakasakit sa pakiramdam na makitang nasira ang mga pananim sa bukid dahil sa bagyo.  ,Rizal,
Nagalit si nanay dahil gabi na ako nakauwi mula sa pamamasyal sa overlooking.  ,Rizal,
Natutuwa ako dahil nakarating din sa wakas ang buong pamilya dito sa sikat na simbahan.  ,Rizal,
Nanghihinayang ako sa pagkakataon na makasama sa hiking dahil sumakit ang aking katawan.  ,Rizal,
Nalilito ako kung aling daan ang mas ligtas dadaanang shortcut patungo sa bayan.  ,Rizal,
Napakasaya ng buong grupo noong makita namin ang malinis na tubig sa talon.  ,Rizal,
Naiinis ako kapag madaming kalat ang iniwan ng mga turista dito sa parke.  ,Rizal,
Nangangamba ako na baka maabutan tayo ng ulan sa gitna ng daan papunta sa bundok.  ,Rizal,
Sobrang gulo ng isip ko dahil sa dami ng dinalang gamit para sa camping bukas.  ,Rizal,
Presko hangin.  ,Rizal,
Tara talon.  ,Rizal,
Mag-bike tayo.  ,Rizal,
Tahimik dito.  ,Rizal,
Daan shortcut.  ,Rizal,
Malamig Antipolo.  ,Rizal,
Madaming turista.  ,Rizal,
Tambay overlooking.  ,Rizal,
Gabi probinsya.  ,Rizal,
Silong muna.  ,Rizal,
Ganda bundok.  ,Rizal,
Hiking tayo.  ,Rizal,
Ang presko talaga ng hangin kapag nasa Antipolo ka lalo na kapag maaga ka nagising para maglakad-lakad sa paligid.  ,Rizal,
Tara sa may Pililla para makita ang mga malalaking windmill na madalas nating mapanood sa mga post sa internet.  ,Rizal,
Masarap mag-bike rito dahil maraming hamon ang ahon na siguradong susubok sa tatag ng iyong katawan at bisikleta.  ,Rizal,
Ang tahimik ng buhay dito sa kabundukan natin malayo sa maingay at magulong buhay sa malalaking lungsod sa Maynila.  ,Rizal,
Dito tayo dumaan para makaiwas sa trapik sa bayan na dulot ng ginagawang malaking tulay sa kabilang kanto.  ,Rizal,
Parang lumalamig na ang simoy ng hangin sa gabi dahil papalapit na naman ang buwan ng disyembre dito sa atin.  ,Rizal,
Ang daming deboto sa simbahan tuwing buwan ng Mayo dahil tradisyon na ang maglakad patungo rito sa amin.  ,Rizal,
Masarap magkape rito sa may overlooking kapag gabi habang pinapanood mo ang mga ilaw ng mga sasakyan sa ibaba.  ,Rizal,
Tahimik ang buong barangay kapag sumapit ang madaling-araw dahil natutulog na ang lahat ng mga tao sa bahay.  ,Rizal,
Dito muna tayo sumilong dahil matindi ang sikat ng araw at baka tayo magkasakit kapag nagpatuloy pa tayo sa paglakad.  ,Rizal,
Ang ganda ng tanawin kapag Sierra Madre ang kaharap mo lalo na kapag sumisikat ang araw sa likod nito.  ,Rizal,
Masarap mag-relax dito pagkatapos ng mahabang linggo ng pagtatrabaho sa maingay at maduming lugar sa siyudad.  ,Rizal,
"Aba, presko ah!  ",Rizal,
"Hala, matarik ito!  ",Rizal,
"Ay, ganda ng view!  ",Rizal,
"Naku, ang taas naman!  ",Rizal,
"Wow, ang lamig dito!  ",Rizal,
"Ay, salamat nakarating din!  ",Rizal,
"Hala, uulan yata sa bundok!  ",Rizal,
"Naku naman o, flat ang gulong!  ",Rizal,
"Aba, madaming bikers ngayon!  ",Rizal,
"Ay, sarado ang hanging bridge!  ",Rizal,
"Hala, bilisan mo ang pag-akyat!  ",Rizal,
"Wow, sarap ng kape rito!  ",Rizal,
Magpahinga muna kayo rito sa ilalim ng kawayan bago magpatuloy.  ,Rizal,
Dito tayo dumaan sa shortcut para mabilis tayong makarating sa terminal.  ,Rizal,
Hintayin muna natin ang huling biyahe ng bangka patungong talim island.  ,Rizal,
Tara muna sa may rizal shrine sa morong para mamasyal.  ,Rizal,
Iayos mo ang kadena ng bike mo bago tayo magsimulang umakyat ng bundok.  ,Rizal,
Tingnan mo kung malinis ang tubig sa talon bago ka lumangoy.  ,Rizal,
Isara mo ang bintana dahil malamig ang hangin mula sa kabundukan.  ,Rizal,
Ilista mo ang mga pangalan ng kasama natin sa hiking para sa permit.  ,Rizal,
Huwag kayong lalayo sa grupo kapag nasa loob na tayo ng kagubatan.  ,Rizal,
Bilisan mo ang pag-pack ng mga gamit sa camping dahil gabi na.  ,Rizal,
Magdala ka ng makapal na jacket dahil malamig ang panahon sa taas.  ,Rizal,
Iwan mo ang mabibigat na bag dito sa may tapat ng registration desk.  ,Rizal,
Pumunta kami sa may Pililla noong nakaraang linggo para tingnan ang mga windmill kasama ang aking pamilya.  ,Rizal,
Nakita ko ang madaming nagre-register na bikers para sa gaganaping karera sa darating na sabado ng umaga.  ,Rizal,
Naglakad kami sa may pilapil habang pinapanood ang magandang tanawin ng lawa mula sa aming pwesto.  ,Rizal,
Bumili si tatay ng mga sariwang prutas sa tabi ng daan para sa aming pasalubong pag-uwi sa bahay.  ,Rizal,
Nag-camping kami sa bundok kasama ang aking mga katrabaho at napakasaya ng aming kwentuhan sa gabi.  ,Rizal,
Dumaan ang traysikel sa gilid ng sementeryo para makaiwas sa mahabang pila ng sasakyan sa main road.  ,Rizal,
Natapos din namin ang pag-aayos ng mga permit para sa pag-akyat sa bundok pagkatapos ng ilang oras.  ,Rizal,
Nakinig kami sa paliwanag ng guide tungkol sa kasaysayan ng lumang simbahan dito sa aming bayan.  ,Rizal,
Nagkita-kita ang magkakaibigan sa tapat ng arko bago sila tuluyang magsimula sa their alay lakad.  ,Rizal,
Iniwan niya ang kanyang bike sa may paradahan dahil sumakit ang kanyang tuhod sa gitna ng biyahe.  ,Rizal,
Nirestohan namin ang bagong kainan sa may overlooking at napakasarap ng kanilang inihandang pagkain doon.  ,Rizal,
Nawalan ng signal ang aming mga telepono noong makarating kami sa liblib na bahagi ng kabundukan kagabi.  ,Rizal,
Saan ba dadaan ang shortcut patungong Antipolo para maiwasan ang trapik?  ,Rizal,
Masarap ba talaga mag-bike rito kapag sumasapit ang araw ng linggo?  ,Rizal,
Saan ba makakahanap ng murang kagamitan para sa gaganaping hiking bukas?  ,Rizal,
Kumusta ang simoy ng hangin sa itaas ng bundok ngayon ayon sa balita?  ,Rizal,
Parang mahangin ba sa may pililla windmill kapag ganitong buwan ng taon?  ,Rizal,
Saan ba banda rito ang sakayan ng jeep papunta sa may overlooking?  ,Rizal,
Ang dami bang turista ang pumupunta sa talon tuwing sasapit ang weekend?  ,Rizal,
Saan ba pwede mag-park ng bike na ligtas at may nagbabantay rito?  ,Rizal,
Kumain na ba ang lahat bago tayo magsimulang mag-hiking sa bundok?  ,Rizal,
Saan ba ang daan patungo sa sikat na suspension bridge dito sa amin?  ,Rizal,
Tahimik ba talaga ang buhay sa isang maliit na baryo sa kabundukan?  ,Rizal,
Saan ba banda rito ang opisina ng barangay para sa registration ng bikers?  ,Rizal,
"Huwag kang pampam sa daan tol, madaming mabilis na bikers sa likod.  ",Rizal,
Naka-chamba kami ng magandang pwesto sa overlooking kagabi kahit madaming tao.  ,Rizal,
"Huwag mo akong ma-drama rito, alam ko ang hirap ng ahon sa pililla.  ",Rizal,
Naka-iskor kami ng murang kape doon sa may tindahan sa gilid ng daan.  ,Rizal,
"Huwag kang praning tol, ligtas naman mag-camping dito sa taas ng bundok.  ",Rizal,
Naka-jackpot ang tindera dahil naubos agad ang mga paninda niyang malamig na tubig.  ,Rizal,
"Huwag kang pabebe riyan, bilisan mo ang pag-akyat at baka tayo magdilim.  ",Rizal,
Naka-freebie ang grupo ng masarap na suman galing doon sa may-ari ng pwesto.  ,Rizal,
"Huwag kang pasikat sa pagbaba ng bundok, delikado kapag mabilis ang takbo.  ",Rizal,
Naka-score ng mataas na marka ang aking kaklase sa report tungkol sa kalikasan.  ,Rizal,
Huwag kang umasta na parang pro biker kung hindi mo pa kabisado ang daan.  ,Rizal,
Naka-benta sila ng madaming jacket dahil sa matinding lamig dito sa taas.  ,Rizal,
 parang presko ang simoy ng hangin ngayon dito sa may tabing-bundok.  ,Rizal,
" bale, tara sa may talon mamaya pagkatapos ng ating klase sa hapon.  ",Rizal,
" ano, saan ba talaga ang tamang shortcut patungo sa kabilang bayan?  ",Rizal,
" kumbaga, masarap mag-bike rito sa amin dahil sementado na ang kalsada.  ",Rizal,
 parang malamig ngayon sa Antipolo lalo na kapag sumasapit ang gabi.  ,Rizal,
" kumbaga, dito muna tayo sa may ilalim ng puno sumilong saglit habang mainit.  ",Rizal,
" bale, ang daming turista ngayon dahil buwan ng pamamasyal dito sa amin.  ",Rizal,
 parang mahangin yata sa may itaas ng bundok ngayon batay sa ulap.  ,Rizal,
" ano, hintayin muna natin sila rito sa tapat ng arko bago umalis.  ",Rizal,
" kumbaga, masarap tumambay sa overlooking habang umiinom ng mainit na kape.  ",Rizal,
" bale, saan ba banda rito ang terminal ng mga traysikel papuntang plasa?  ",Rizal,
 parang tahimik ang paligid ngayon dahil wala nang masyadong dumadaang sasakyan.  ,Rizal,
Mag-log in ka muna sa system para makita mo ang registration form ng mga bikers.  ,Rizal,
I-check mo kung online na ang page ng turismo para sa update sa talon.  ,Rizal,
Naka-receive kami ng confirmation email tungkol sa slots natin sa camping site.  ,Rizal,
I-print mo ang hard copy ng map ng trail para hindi tayo maligaw bukas.  ,Rizal,
Naka-save ba sa flash drive ang lahat ng mga litrato natin sa overlooking?  ,Rizal,
Mag-download ka muna ng offline map ng Antipolo bago tayo bumiyahe patungo roon.  ,Rizal,
Naka-block ang signal ng wifi kapag nandoon ka na sa malalim na bahagi ng bundok.  ,Rizal,
I-forward mo sa messenger ko ang screenshot ng registration ng ating buong grupo.  ,Rizal,
Naka-schedule ang clean-up drive natin sa next Saturday kasama ang mga environmentalists.  ,Rizal,
I-cancel mo ang booking ng van dahil mas gusto ng tropa na mag-commute na lang.  ,Rizal,
Naka-post sa facebook group ang listahan ng mga kailangang dalhin para sa hiking.  ,Rizal,
I-verify mo muna sa app kung pumasok na ang payment para sa entrance fee natin.  ,Rizal,
Ano man oras ang alis natin papunta sa bayan ngayon?  ,Quezon,
Saan man tayo bibili ng pagkain para sa ating hapunan?  ,Quezon,
Kain man muna tayo bago tayo tuluyang bumiyahe sa malayo.  ,Quezon,
Mainit man sa terminal ngayon dahil madami ang naghihintay.  ,Quezon,
Tara man sa palengke mamaya para bumili ng mga prutas.  ,Quezon,
Hintay man muna si nanay dahil may tinatapos pa siya sa loob.  ,Quezon,
Marami man tao sa bayan ngayon dahil papalapit na ang pista.  ,Quezon,
Ang lakas man ng ulan kagabi kaya nabasa ang mga paninda.  ,Quezon,
Dito man muna kayo umupo sa may silya habang naghihintay.  ,Quezon,
Saan man ang sakayan ng dyip papunta sa kabilang barangay?  ,Quezon,
Kain man tayo ng pancit habhab mamaya kasama ang pamilya.  ,Quezon,
Tara man at baka mahuli tayo sa huling biyahe ng van.  ,Quezon,
Mainit man sa loob ng jeep kapag tanghaling tapat sa kalsada.  ,Quezon,
Hintay man sandali at darating din sila mula sa bukid.  ,Quezon,
Parang mahaba man ang pila rito sa may tindahan ni Aling Maria.  ,Quezon,
Naiiyak ako sa lungkot dahil umalis man sila nang hindi man lang nagpaalam sa amin.  ,Quezon,
Sobra ang kaba ko habang naulan at ang lakas man ng kulog at kidlat kagabi.  ,Quezon,
Natatakot ako na baka masira man ang lahat ng mga pananim na niyog sa bukid.  ,Quezon,
Napakasakit sa damdamin na makitang nag-away man ang magkapatid dahil sa pera.  ,Quezon,
Nagalit si tatay dahil nakalimutan man ninyong isara ang gate ng gilingan kanina.  ,Quezon,
Natutuwa ako dahil naging matagumpay man ang pagdiriwang ng Pahiyas sa bayan.  ,Quezon,
Nanghihinayang ako sa natirang pagkain na napanis man dahil nakalimutang itabi sa ref.  ,Quezon,
Nalilito ako kung saan man tayo kukuha ng karagdagang kawayan para sa bakod.  ,Quezon,
Napakasaya ng buong pamilya noong dumating man ang mga pasalubong mula sa malayo.  ,Quezon,
Naiinis ako kapag matagal man akong naghihintay dito sa tapat ng kalan sa initan.  ,Quezon,
Nangangamba ako na baka hindi man lang sila makarating sa takdang oras bukas.  ,Quezon,
Sobrang gulo ng isip ko dahil sa dami man ng problema sa aming negosyo ngayon.  ,Quezon,
Ano man.  ,Quezon,
Saan man?  ,Quezon,
Kain man.  ,Quezon,
Mainit man.  ,Quezon,
Tara man.  ,Quezon,
Hintay man.  ,Quezon,
Marami man.  ,Quezon,
Lakas man.  ,Quezon,
Dito man.  ,Quezon,
Biyahe man.  ,Quezon,
Suman man.  ,Quezon,
Pila man.  ,Quezon,
Saan man tayo makakabili ng pasalubong na Lucban longganisa na bagong gawa para dalhin sa aming mga kamag-anak sa Maynila?  ,Quezon,
Kain man muna kayo ng kakanin habang bagong luto pa at mainit para naman magkaroon kayo ng lakas sa paglalakbay.  ,Quezon,
Mainit man ang ulo ng tsuper dahil sa matinding traffic na dulot ng ginagawang kalsada sa may tapat ng munisipyo.  ,Quezon,
Hintay man muna kayo riyan habang hinahanap ko ang susi ng bodega kung saan nakatago ang mga kagamitan natin.  ,Quezon,
Ano man the gagawin natin kapag hindi sila dumating sa takdang oras na pinagkasunduan natin noong nakaraang linggo?  ,Quezon,
Saan man tayo makakahanap ng murang bigas sa bayan para makatipid tayo sa gastusin ng aming pamilya ngayong buwan?  ,Quezon,
Mainit man ang singaw ng hurno sa pagawaan ng tinapay pero kailangan nilang magtiis para matapos ang mga order.  ,Quezon,
Tara man sa simbahan para magpasalamat sa lahat ng mga biyaya na natanggap ng ating buong pamilya ngayong taon.  ,Quezon,
Hintay man muna kayo riyan sa may lilim ng puno para hindi kayo mainitan habang nag-aantay ng masasakyang dyip.  ,Quezon,
Marami man ang pumupunta sa Lucban tuwing gaganapin ang sikat na kapistahan ng Pahiyas para makakita ng magagandang dekorasyon.  ,Quezon,
Ang lakas man ng agos ng tubig sa ilog kanina kaya naman pinagbawal muna ng kapitan ang paliligo ng mga bata.  ,Quezon,
Dito man muna kayo magpahinga habang mainit ang sikat ng araw sa labas at baka kayo ay biglang magkasakit sa daan.  ,Quezon,
"Aba, marami man!  ",Quezon,
"Hala, lakas man!  ",Quezon,
"Ay, mainit man!  ",Quezon,
"Naku, ano man!  ",Quezon,
"Wow, sarap man!  ",Quezon,
"Ay, salamat man!  ",Quezon,
"Hala, uulan man!  ",Quezon,
"Naku naman o, sarado man!  ",Quezon,
"Aba, maaga man!  ",Quezon,
"Ay, nabasag man!  ",Quezon,
"Hala, bilisan man!  ",Quezon,
"Wow, ganda man!  ",Quezon,
Hintay man muna kay tatay dahil parating na raw siya mula sa malapit na palengke.  ,Quezon,
Dito man muna kayo magpalipas ng gabi sa aming munting bahay dahil umuulan nang malakas.  ,Quezon,
Saan man ang sakayan ng dyip patungong Lucena kaya magtanong ka muna doon sa kanto.  ,Quezon,
Kain man tayo ng suman mamayang meryenda kaya magpakulo ka na ng mainit na tubig.  ,Quezon,
Tara man at baka maiwan tayo ng huling biyahe ng bus patungong Maynila ngayon.  ,Quezon,
Isara mo ang bintana dahil malakas man ang pasok ng hangin mula sa dagat pasipiko.  ,Quezon,
Tawagan mo ang iyong kapatid para malaman kung nasaan man siya nagsuot ngayong hapon.  ,Quezon,
Ihanda mo ang mga kargang niyog sa trak bago dumating ang mamimili mamayang gabi.  ,Quezon,
Ilista mo ang lahat ng mga kailangan nating bilhin sa tiangge para sa pista.  ,Quezon,
Huwag mong iiwan ang mga natirang pagkain sa mesa at baka langgamin man iyan.  ,Quezon,
Bilisan mo ang paggiling ng niyog para magamit na natin sa pagluluto ng ulam.  ,Quezon,
Magdala ka ng payong dahil parang uulan man nang malakas batay sa kulay ng langit.  ,Quezon,
Pumunta kami sa Lucban noong nakaraang buwan para manood ng Pahiyas kasama ang buong pamilya ko.  ,Quezon,
Nakita ko ang mahabang pila ng mga trak na may kargang niyog doon sa may checkpoint kanina.  ,Quezon,
Nag-asikaso kami ng mga dokumento sa munisipyo at matagal man kaming naghintay dahil madaming tao.  ,Quezon,
Bumili si nanay ng masarap na pancit habhab sa bayan para sa aming meryenda ngayong hapon.  ,Quezon,
Naglakad kami sa tabing-dagat habang malakas man ang hangin na nagbubuhat sa dagat pasipiko kanina.  ,Quezon,
Dumaan ang sasakyan namin sa shortcut sa bukid para makaiwas sa trapik sa main highway.  ,Quezon,
Natapos din namin ang pag-aayos ng bakod gamit ang mga kawayan na kinuha namin sa likod-bahay.  ,Quezon,
Nakinig ang lahat sa abiso ng kapitan tungkol sa gaganaping pagpupulong ng mga magsasaka bukas.  ,Quezon,
Nagkita-kita kami sa may plasa bago kami tuluyang pumunta sa may gilingan ng niyog kahapon.  ,Quezon,
Iniwan niya ang kanyang mga tsinelas sa may tapat ng pintuan dahil madumi man ang daan sa labas.  ,Quezon,
Nirestohan namin ang kainan sa tabi ng simbahan at napakasarap man ng kanilang inihandang pagkain doon.  ,Quezon,
Nawalan ng kuryente sa buong barangay kaya naman napilitan kaming gumamit muna ng mga gasera kagabi.  ,Quezon,
Saan man tayo makakabili ng masarap na nilupak dito sa inyong bayan ngayon?  ,Quezon,
Kailan man ang dating ng mga kamag-anak ninyo mula sa malalayong probinsya?  ,Quezon,
Saan man ang daan patungo sa sikat na talon ng balagbag dito sa amin?  ,Quezon,
Mainit man ba sa loob ng opisina kapag walang kuryente sa buong gusali?  ,Quezon,
Saan man dadaan ang trak na may kargang mga bagong pitas na niyog?  ,Quezon,
Marami man ba ang naging huli nilang sariwang isda kaninang umaga sa dagat?  ,Quezon,
Saan man tayo pwedeng sumakay ng van papunta sa Lucena dito sa kanto?  ,Quezon,
Ano man ang desisyon ng nakararami ay susunod ba kayo nang walang reklamo?  ,Quezon,
Saan man natin ilalagay ang mga natirang kagamitan pagkatapos ng pagtatrabaho bukas?  ,Quezon,
Inom man muna ba kayo ng mainit na kape habang nagpapalipas ng oras dito?  ,Quezon,
Saan man dadaan ang prusisyon mamayang gabi para makaiwas tayo sa daan?  ,Quezon,
Ano man ang gagawin natin kapag biglang bumuhos ang malakas na ulan mamaya?  ,Quezon,
"Huwag kang epal sa usapan, wala ka namang alam sa nangyari sa munisipyo.  ",Quezon,
Naka-chamba man ang tropa ng libreng suman doon sa may tindahan sa kanto.  ,Quezon,
"Huwag mo akong ma-lowbatan dito, alam ko ang totoong gawa mo sa bukid.  ",Quezon,
Naka-jackpot kami sa palengke dahil madami ang murang longganisa kaninang umaga.  ,Quezon,
"Huwag kang pabebe riyan, bilisan mo ang pag-load ng mga niyog sa trak.  ",Quezon,
Naka-iskor kami ng libreng meryenda galing doon sa may-ari ng gilingan.  ,Quezon,
"Huwag kang praning, ligtas naman iwan ang sasakyan mo diyan sa tabi ng daan.  ",Quezon,
Naka-freebie ang buong grupo ng malamig na buko juice dahil sa init ng panahon.  ,Quezon,
"Huwag kang pasikat sa harap ng mga bisita, nakakahiya naman ang kilos mo.  ",Quezon,
Naka-score ng mataas na benta ang aking tiyuhin sa pagbebenta ng kopra ngayong buwan.  ,Quezon,
Huwag kang umasta na parang boss kung bago ka pa lang dito sa pagawaan.  ,Quezon,
Naka-benta sila ng madaming paninda dahil sa ganda ng dekorasyon sa Pahiyas.  ,Quezon,
 ano man ang balita sa nawawalang dokumento sa opisina ng kapitan?  ,Quezon,
 parang mainit man ang panahon ngayon pero masarap mamasyal sa bukid.  ,Quezon,
" bale, kain man muna kayo ng nilagang kamote riyan sa may mesa.  ",Quezon,
" kumbaga, hintay man muna kay nanay dahil may binabayaran pa siya sa loob.  ",Quezon,
 parang malakas man ang hiyawan ng mga tao doon sa may covered court.  ,Quezon,
" kumbaga, dito man muna kayo maupo habang wala pa ang sasakyan natin.  ",Quezon,
" bale, saan man ang sakayan ng dyip na dadaan sa may unibersidad?  ",Quezon,
 parang mahaba man ang pila ng mga sasakyan doon sa may checkpoint kanina.  ,Quezon,
" ano, tara man sa may gilingan ng niyog mamaya pagkatapos ng meryenda.  ",Quezon,
" kumbaga, kain man muna tayo ng tanghalian bago magpatuloy sa ating paglalakbay.  ",Quezon,
" bale, saan man tayo pwedeng magpalipas ng ulan dito sa may tabi ng kalsada?  ",Quezon,
 parang marami man ang naging ani ng mga magsasaka ngayong taon dito.  ,Quezon,
Mag-log in ka muna sa government portal para ma-check mo ang status ng permit.  ,Quezon,
I-check mo kung online na ang page ng munisipyo para sa update sa track schedule.  ,Quezon,
Naka-receive kami ng text confirmation tungkol sa delivery ng mga kawayan kanina.  ,Quezon,
I-print mo ang hard copy ng listahan ng mga kalahok para sa Pahiyas event.  ,Quezon,
Naka-save ba sa flash drive ang records ng benta ng kopra para sa auditor?  ,Quezon,
Mag-download ka muna ng form sa website bago ka pumunta sa town hall bukas.  ,Quezon,
Naka-block ang mobile signal kapag nandoon ka na sa liblib na bahagi ng banahaw.  ,Quezon,
I-forward mo sa email ko ang soft copy ng budget report para sa barangay project.  ,Quezon,
Naka-schedule ang meeting natin sa next Thursday kasama ang agricultural officers.  ,Quezon,
I-cancel mo ang booking ng truck dahil hindi pa tapos ang paggiling ng niyog.  ,Quezon,
Naka-post sa facebook page ng bayan ang mga kailangan para sa business permit.  ,Quezon,
I-verify mo muna sa online application kung pumasok na ang remittance ng buyer.  ,Quezon,
