sentence,dialect
Naka-save ba sa flash drive ang presentation na gagamitin natin bukas ng umaga? ,cavite
Mag-download ka muna ng bagong software bago mo simulan ang pag-update ng system. ,cavite
Naka-block ang wifi ng unibersidad kapag sinubukan mong mag-open ng gaming sites. ,cavite
I-forward mo sa email ko ang soft copy ng program outline para ma-review ko. ,cavite
Naka-schedule ang final defense natin sa next week ayon sa ating adviser. ,cavite
I-cancel mo ang booking ng sasakyan dahil nagbago ang plano ng buong tropa. ,cavite
Naka-post sa student portal ang listahan ng mga kailangang dalhin para sa enrollment. ,cavite
I-verify mo muna sa mobile app kung pumasok na ang bayad ng customer sa account. ,cavite
Ang presko naman ng hangin dito sa may tabing-bundok. ,rizal
Tara sa may talon mamaya pagkatapos ng ating klase. ,rizal
Masarap mag-bike rito sa amin dahil sementado na ang kalsada. ,rizal
Ang tahimik dito kapag umaga kaya masarap magpahinga. ,rizal
Dito tayo dumaan sa shortcut para iwas sa trapik sa bayan. ,rizal
Parang malamig ngayon sa Antipolo lalo na kapag gabi. ,rizal
Ang daming turista ngayon dahil buwan ng pamamasyal dito. ,rizal
Masarap tumambay sa overlooking habang umiinom ng mainit na kape. ,rizal
Tahimik sa probinsya kapag gabi na at wala nang sasakyan. ,rizal
Dito muna tayo sa may ilalim ng puno sumilong saglit. ,rizal
Ang ganda ng bundok pagkatapos umulan nang malakas kanina. ,rizal
Masarap mag-hiking dito kasama ang mga kaibigan tuwing weekend. ,rizal
Parang mahangin ngayong gabi kaya kailangan kong mag-jacket. ,rizal
Hintayin muna natin sila rito sa tapat ng arko. ,rizal
Dito tayo magpahinga sandali bago tayo magpatuloy sa pag-akyat. ,rizal
Naiiyak ako sa sobrang pagod pero napawi ang lahat nang makita ko ang ganda ng tanawin mula sa tuktok ng bundok. ,rizal
Sobra ang kaba ko habang binabaybay namin ang matarik na ahon sa may pililla kanina. ,rizal
Natatakot ako kapag sumasapit ang dilim dito sa daan at wala pa kaming kasamang iba sa pagbibisikleta. ,rizal
Napakasakit sa pakiramdam na makitang nasira ang mga pananim sa bukid dahil sa bagyo. ,rizal
Nagalit si nanay dahil gabi na ako nakauwi mula sa pamamasyal sa overlooking. ,rizal
Natutuwa ako dahil nakarating din sa wakas ang buong pamilya dito sa sikat na simbahan. ,rizal
Nanghihinayang ako sa pagkakataon na makasama sa hiking dahil sumakit ang aking katawan. ,rizal
Nalilito ako kung aling daan ang mas ligtas dadaanang shortcut patungo sa bayan. ,rizal
Napakasaya ng buong grupo noong makita namin ang malinis na tubig sa talon. ,rizal
Naiinis ako kapag madaming kalat ang iniwan ng mga turista dito sa parke. ,rizal
Nangangamba ako na baka maabutan tayo ng ulan sa gitna ng daan papunta sa bundok. ,rizal
Sobrang gulo ng isip ko dahil sa dami ng dinalang gamit para sa camping bukas. ,rizal
Presko hangin. ,rizal
Tara talon. ,rizal
Mag-bike tayo. ,rizal
Tahimik dito. ,rizal
Daan shortcut. ,rizal
Malamig Antipolo. ,rizal
Madaming turista. ,rizal
Tambay overlooking. ,rizal
Gabi probinsya. ,rizal
Silong muna. ,rizal
Ganda bundok. ,rizal
Hiking tayo. ,rizal
Ang presko talaga ng hangin kapag nasa Antipolo ka lalo na kapag maaga ka nagising para maglakad-lakad sa paligid. ,rizal
Tara sa may Pililla para makita ang mga malalaking windmill na madalas nating mapanood sa mga post sa internet. ,rizal
Masarap mag-bike rito dahil maraming hamon ang ahon na siguradong susubok sa tatag ng iyong katawan at bisikleta. ,rizal
Ang tahimik ng buhay dito sa kabundukan natin malayo sa maingay at magulong buhay sa malalaking lungsod sa Maynila. ,rizal
Dito tayo dumaan para makaiwas sa trapik sa bayan na dulot ng ginagawang malaking tulay sa kabilang kanto. ,rizal
Parang lumalamig na ang simoy ng hangin sa gabi dahil papalapit na naman ang buwan ng disyembre dito sa atin. ,rizal
Ang daming deboto sa simbahan tuwing buwan ng Mayo dahil tradisyon na ang maglakad patungo rito sa amin. ,rizal
Masarap magkape rito sa may overlooking kapag gabi habang pinapanood mo ang mga ilaw ng mga sasakyan sa ibaba. ,rizal
Tahimik ang buong barangay kapag sumapit ang madaling-araw dahil natutulog na ang lahat ng mga tao sa bahay. ,rizal
Dito muna tayo sumilong dahil matindi ang sikat ng araw at baka tayo magkasakit kapag nagpatuloy pa tayo sa paglakad. ,rizal
Ang ganda ng tanawin kapag Sierra Madre ang kaharap mo lalo na kapag sumisikat ang araw sa likod nito. ,rizal
Masarap mag-relax dito pagkatapos ng mahabang linggo ng pagtatrabaho sa maingay at maduming lugar sa siyudad. ,rizal
"Aba, presko ah! ",rizal
"Hala, matarik ito! ",rizal
"Ay, ganda ng view! ",rizal
"Naku, ang taas naman! ",rizal
"Wow, ang lamig dito! ",rizal
"Ay, salamat nakarating din! ",rizal
"Hala, uulan yata sa bundok! ",rizal
"Naku naman o, flat ang gulong! ",rizal
"Aba, madaming bikers ngayon! ",rizal
"Ay, sarado ang hanging bridge! ",rizal
"Hala, bilisan mo ang pag-akyat! ",rizal
"Wow, sarap ng kape rito! ",rizal
Magpahinga muna kayo rito sa ilalim ng kawayan bago magpatuloy. ,rizal
Dito tayo dumaan sa shortcut para mabilis tayong makarating sa terminal. ,rizal
Hintayin muna natin ang huling biyahe ng bangka patungong talim island. ,rizal
Tara muna sa may rizal shrine sa morong para mamasyal. ,rizal
Iayos mo ang kadena ng bike mo bago tayo magsimulang umakyat ng bundok. ,rizal
Tingnan mo kung malinis ang tubig sa talon bago ka lumangoy. ,rizal
Isara mo ang bintana dahil malamig ang hangin mula sa kabundukan. ,rizal
Ilista mo ang mga pangalan ng kasama natin sa hiking para sa permit. ,rizal
Huwag kayong lalayo sa grupo kapag nasa loob na tayo ng kagubatan. ,rizal
Bilisan mo ang pag-pack ng mga gamit sa camping dahil gabi na. ,rizal
Magdala ka ng makapal na jacket dahil malamig ang panahon sa taas. ,rizal
Iwan mo ang mabibigat na bag dito sa may tapat ng registration desk. ,rizal
Pumunta kami sa may Pililla noong nakaraang linggo para tingnan ang mga windmill kasama ang aking pamilya. ,rizal
Nakita ko ang madaming nagre-register na bikers para sa gaganaping karera sa darating na sabado ng umaga. ,rizal
Naglakad kami sa may pilapil habang pinapanood ang magandang tanawin ng lawa mula sa aming pwesto. ,rizal
Bumili si tatay ng mga sariwang prutas sa tabi ng daan para sa aming pasalubong pag-uwi sa bahay. ,rizal
Nag-camping kami sa bundok kasama ang aking mga katrabaho at napakasaya ng aming kwentuhan sa gabi. ,rizal
Dumaan ang traysikel sa gilid ng sementeryo para makaiwas sa mahabang pila ng sasakyan sa main road. ,rizal
Natapos din namin ang pag-aayos ng mga permit para sa pag-akyat sa bundok pagkatapos ng ilang oras. ,rizal
Nakinig kami sa paliwanag ng guide tungkol sa kasaysayan ng lumang simbahan dito sa aming bayan. ,rizal
Nagkita-kita ang magkakaibigan sa tapat ng arko bago sila tuluyang magsimula sa their alay lakad. ,rizal
Iniwan niya ang kanyang bike sa may paradahan dahil sumakit ang kanyang tuhod sa gitna ng biyahe. ,rizal
Nirestohan namin ang bagong kainan sa may overlooking at napakasarap ng kanilang inihandang pagkain doon. ,rizal
Nawalan ng signal ang aming mga telepono noong makarating kami sa liblib na bahagi ng kabundukan kagabi. ,rizal
Saan ba dadaan ang shortcut patungong Antipolo para maiwasan ang trapik? ,rizal
Masarap ba talaga mag-bike rito kapag sumasapit ang araw ng linggo? ,rizal
Saan ba makakahanap ng murang kagamitan para sa gaganaping hiking bukas? ,rizal
Kumusta ang simoy ng hangin sa itaas ng bundok ngayon ayon sa balita? ,rizal
Parang mahangin ba sa may pililla windmill kapag ganitong buwan ng taon? ,rizal
Saan ba banda rito ang sakayan ng jeep papunta sa may overlooking? ,rizal
Ang dami bang turista ang pumupunta sa talon tuwing sasapit ang weekend? ,rizal
Saan ba pwede mag-park ng bike na ligtas at may nagbabantay rito? ,rizal
Kumain na ba ang lahat bago tayo magsimulang mag-hiking sa bundok? ,rizal
Saan ba ang daan patungo sa sikat na suspension bridge dito sa amin? ,rizal
Tahimik ba talaga ang buhay sa isang maliit na baryo sa kabundukan? ,rizal
Saan ba banda rito ang opisina ng barangay para sa registration ng bikers? ,rizal
"Huwag kang pampam sa daan tol, madaming mabilis na bikers sa likod. ",rizal
Naka-chamba kami ng magandang pwesto sa overlooking kagabi kahit madaming tao. ,rizal
"Huwag mo akong ma-drama rito, alam ko ang hirap ng ahon sa pililla. ",rizal
Naka-iskor kami ng murang kape doon sa may tindahan sa gilid ng daan. ,rizal
"Huwag kang praning tol, ligtas naman mag-camping dito sa taas ng bundok. ",rizal
Naka-jackpot ang tindera dahil naubos agad ang mga paninda niyang malamig na tubig. ,rizal
"Huwag kang pabebe riyan, bilisan mo ang pag-akyat at baka tayo magdilim. ",rizal
Naka-freebie ang grupo ng masarap na suman galing doon sa may-ari ng pwesto. ,rizal
"Huwag kang pasikat sa pagbaba ng bundok, delikado kapag mabilis ang takbo. ",rizal
Naka-score ng mataas na marka ang aking kaklase sa report tungkol sa kalikasan. ,rizal
Huwag kang umasta na parang pro biker kung hindi mo pa kabisado ang daan. ,rizal
Naka-benta sila ng madaming jacket dahil sa matinding lamig dito sa taas. ,rizal
 parang presko ang simoy ng hangin ngayon dito sa may tabing-bundok. ,rizal
" bale, tara sa may talon mamaya pagkatapos ng ating klase sa hapon. ",rizal
" ano, saan ba talaga ang tamang shortcut patungo sa kabilang bayan? ",rizal
" kumbaga, masarap mag-bike rito sa amin dahil sementado na ang kalsada. ",rizal
 parang malamig ngayon sa Antipolo lalo na kapag sumasapit ang gabi. ,rizal
" kumbaga, dito muna tayo sa may ilalim ng puno sumilong saglit habang mainit. ",rizal
" bale, ang daming turista ngayon dahil buwan ng pamamasyal dito sa amin. ",rizal
 parang mahangin yata sa may itaas ng bundok ngayon batay sa ulap. ,rizal
" ano, hintayin muna natin sila rito sa tapat ng arko bago umalis. ",rizal
" kumbaga, masarap tumambay sa overlooking habang umiinom ng mainit na kape. ",rizal
" bale, saan ba banda rito ang terminal ng mga traysikel papuntang plasa? ",rizal
 parang tahimik ang paligid ngayon dahil wala nang masyadong dumadaang sasakyan. ,rizal
Mag-log in ka muna sa system para makita mo ang registration form ng mga bikers. ,rizal
I-check mo kung online na ang page ng turismo para sa update sa talon. ,rizal
Naka-receive kami ng confirmation email tungkol sa slots natin sa camping site. ,rizal
I-print mo ang hard copy ng map ng trail para hindi tayo maligaw bukas. ,rizal
Naka-save ba sa flash drive ang lahat ng mga litrato natin sa overlooking? ,rizal
Mag-download ka muna ng offline map ng Antipolo bago tayo bumiyahe patungo roon. ,rizal
Naka-block ang signal ng wifi kapag nandoon ka na sa malalim na bahagi ng bundok. ,rizal
I-forward mo sa messenger ko ang screenshot ng registration ng ating buong grupo. ,rizal
Naka-schedule ang clean-up drive natin sa next Saturday kasama ang mga environmentalists. ,rizal
I-cancel mo ang booking ng van dahil mas gusto ng tropa na mag-commute na lang. ,rizal
Naka-post sa facebook group ang listahan ng mga kailangang dalhin para sa hiking. ,rizal
I-verify mo muna sa app kung pumasok na ang payment para sa entrance fee natin. ,rizal
Ano man oras ang alis natin papunta sa bayan ngayon? ,quezon
Saan man tayo bibili ng pagkain para sa ating hapunan? ,quezon
Kain man muna tayo bago tayo tuluyang bumiyahe sa malayo. ,quezon
Mainit man sa terminal ngayon dahil madami ang naghihintay. ,quezon
Tara man sa palengke mamaya para bumili ng mga prutas. ,quezon
Hintay man muna si nanay dahil may tinatapos pa siya sa loob. ,quezon
Marami man tao sa bayan ngayon dahil papalapit na ang pista. ,quezon
Ang lakas man ng ulan kagabi kaya nabasa ang mga paninda. ,quezon
Dito man muna kayo umupo sa may silya habang naghihintay. ,quezon
Saan man ang sakayan ng dyip papunta sa kabilang barangay? ,quezon
Kain man tayo ng pancit habhab mamaya kasama ang pamilya. ,quezon
Tara man at baka mahuli tayo sa huling biyahe ng van. ,quezon
Mainit man sa loob ng jeep kapag tanghaling tapat sa kalsada. ,quezon
Hintay man sandali at darating din sila mula sa bukid. ,quezon
Parang mahaba man ang pila rito sa may tindahan ni Aling Maria. ,quezon
Naiiyak ako sa lungkot dahil umalis man sila nang hindi man lang nagpaalam sa amin. ,quezon
Sobra ang kaba ko habang naulan at ang lakas man ng kulog at kidlat kagabi. ,quezon
Natatakot ako na baka masira man ang lahat ng mga pananim na niyog sa bukid. ,quezon
Napakasakit sa damdamin na makitang nag-away man ang magkapatid dahil sa pera. ,quezon
Nagalit si tatay dahil nakalimutan man ninyong isara ang gate ng gilingan kanina. ,quezon
Natutuwa ako dahil naging matagumpay man ang pagdiriwang ng Pahiyas sa bayan. ,quezon
Nanghihinayang ako sa natirang pagkain na napanis man dahil nakalimutang itabi sa ref. ,quezon
Nalilito ako kung saan man tayo kukuha ng karagdagang kawayan para sa bakod. ,quezon
Napakasaya ng buong pamilya noong dumating man ang mga pasalubong mula sa malayo. ,quezon
Naiinis ako kapag matagal man akong naghihintay dito sa tapat ng kalan sa initan. ,quezon
Nangangamba ako na baka hindi man lang sila makarating sa takdang oras bukas. ,quezon
Sobrang gulo ng isip ko dahil sa dami man ng problema sa aming negosyo ngayon. ,quezon
Ano man. ,quezon
Saan man? ,quezon
Kain man. ,quezon
Mainit man. ,quezon
Tara man. ,quezon
Hintay man. ,quezon
Marami man. ,quezon
Lakas man. ,quezon
Dito man. ,quezon
Biyahe man. ,quezon
Suman man. ,quezon
Pila man. ,quezon
Saan man tayo makakabili ng pasalubong na Lucban longganisa na bagong gawa para dalhin sa aming mga kamag-anak sa Maynila? ,quezon
Kain man muna kayo ng kakanin habang bagong luto pa at mainit para naman magkaroon kayo ng lakas sa paglalakbay. ,quezon
Mainit man ang ulo ng tsuper dahil sa matinding traffic na dulot ng ginagawang kalsada sa may tapat ng munisipyo. ,quezon
Hintay man muna kayo riyan habang hinahanap ko ang susi ng bodega kung saan nakatago ang mga kagamitan natin. ,quezon
Ano man the gagawin natin kapag hindi sila dumating sa takdang oras na pinagkasunduan natin noong nakaraang linggo? ,quezon
Saan man tayo makakahanap ng murang bigas sa bayan para makatipid tayo sa gastusin ng aming pamilya ngayong buwan? ,quezon
Mainit man ang singaw ng hurno sa pagawaan ng tinapay pero kailangan nilang magtiis para matapos ang mga order. ,quezon
Tara man sa simbahan para magpasalamat sa lahat ng mga biyaya na natanggap ng ating buong pamilya ngayong taon. ,quezon
Hintay man muna kayo riyan sa may lilim ng puno para hindi kayo mainitan habang nag-aantay ng masasakyang dyip. ,quezon
Marami man ang pumupunta sa Lucban tuwing gaganapin ang sikat na kapistahan ng Pahiyas para makakita ng magagandang dekorasyon. ,quezon
Ang lakas man ng agos ng tubig sa ilog kanina kaya naman pinagbawal muna ng kapitan ang paliligo ng mga bata. ,quezon
Dito man muna kayo magpahinga habang mainit ang sikat ng araw sa labas at baka kayo ay biglang magkasakit sa daan. ,quezon
"Aba, marami man! ",quezon
"Hala, lakas man! ",quezon
"Ay, mainit man! ",quezon
"Naku, ano man! ",quezon
"Wow, sarap man! ",quezon
"Ay, salamat man! ",quezon
"Hala, uulan man! ",quezon
"Naku naman o, sarado man! ",quezon
"Aba, maaga man! ",quezon
"Ay, nabasag man! ",quezon
"Hala, bilisan man! ",quezon
"Wow, ganda man! ",quezon
Hintay man muna kay tatay dahil parating na raw siya mula sa malapit na palengke. ,quezon
Dito man muna kayo magpalipas ng gabi sa aming munting bahay dahil umuulan nang malakas. ,quezon
Saan man ang sakayan ng dyip patungong Lucena kaya magtanong ka muna doon sa kanto. ,quezon
Kain man tayo ng suman mamayang meryenda kaya magpakulo ka na ng mainit na tubig. ,quezon
Tara man at baka maiwan tayo ng huling biyahe ng bus patungong Maynila ngayon. ,quezon
Isara mo ang bintana dahil malakas man ang pasok ng hangin mula sa dagat pasipiko. ,quezon
Tawagan mo ang iyong kapatid para malaman kung nasaan man siya nagsuot ngayong hapon. ,quezon
Ihanda mo ang mga kargang niyog sa trak bago dumating ang mamimili mamayang gabi. ,quezon
Ilista mo ang lahat ng mga kailangan nating bilhin sa tiangge para sa pista. ,quezon
Huwag mong iiwan ang mga natirang pagkain sa mesa at baka langgamin man iyan. ,quezon
Bilisan mo ang paggiling ng niyog para magamit na natin sa pagluluto ng ulam. ,quezon
Magdala ka ng payong dahil parang uulan man nang malakas batay sa kulay ng langit. ,quezon
Pumunta kami sa Lucban noong nakaraang buwan para manood ng Pahiyas kasama ang buong pamilya ko. ,quezon
Nakita ko ang mahabang pila ng mga trak na may kargang niyog doon sa may checkpoint kanina. ,quezon
Nag-asikaso kami ng mga dokumento sa munisipyo at matagal man kaming naghintay dahil madaming tao. ,quezon
Bumili si nanay ng masarap na pancit habhab sa bayan para sa aming meryenda ngayong hapon. ,quezon
Naglakad kami sa tabing-dagat habang malakas man ang hangin na nagbubuhat sa dagat pasipiko kanina. ,quezon
Dumaan ang sasakyan namin sa shortcut sa bukid para makaiwas sa trapik sa main highway. ,quezon
Natapos din namin ang pag-aayos ng bakod gamit ang mga kawayan na kinuha namin sa likod-bahay. ,quezon
Nakinig ang lahat sa abiso ng kapitan tungkol sa gaganaping pagpupulong ng mga magsasaka bukas. ,quezon
Nagkita-kita kami sa may plasa bago kami tuluyang pumunta sa may gilingan ng niyog kahapon. ,quezon
Iniwan niya ang kanyang mga tsinelas sa may tapat ng pintuan dahil madumi man ang daan sa labas. ,quezon
Nirestohan namin ang kainan sa tabi ng simbahan at napakasarap man ng kanilang inihandang pagkain doon. ,quezon
Nawalan ng kuryente sa buong barangay kaya naman napilitan kaming gumamit muna ng mga gasera kagabi. ,quezon
Saan man tayo makakabili ng masarap na nilupak dito sa inyong bayan ngayon? ,quezon
Kailan man ang dating ng mga kamag-anak ninyo mula sa malalayong probinsya? ,quezon
Saan man ang daan patungo sa sikat na talon ng balagbag dito sa amin? ,quezon
Mainit man ba sa loob ng opisina kapag walang kuryente sa buong gusali? ,quezon
Saan man dadaan ang trak na may kargang mga bagong pitas na niyog? ,quezon
Marami man ba ang naging huli nilang sariwang isda kaninang umaga sa dagat? ,quezon
Saan man tayo pwedeng sumakay ng van papunta sa Lucena dito sa kanto? ,quezon
Ano man ang desisyon ng nakararami ay susunod ba kayo nang walang reklamo? ,quezon
Saan man natin ilalagay ang mga natirang kagamitan pagkatapos ng pagtatrabaho bukas? ,quezon
Inom man muna ba kayo ng mainit na kape habang nagpapalipas ng oras dito? ,quezon
Saan man dadaan ang prusisyon mamayang gabi para makaiwas tayo sa daan? ,quezon
Ano man ang gagawin natin kapag biglang bumuhos ang malakas na ulan mamaya? ,quezon
"Huwag kang epal sa usapan, wala ka namang alam sa nangyari sa munisipyo. ",quezon
Naka-chamba man ang tropa ng libreng suman doon sa may tindahan sa kanto. ,quezon
"Huwag mo akong ma-lowbatan dito, alam ko ang totoong gawa mo sa bukid. ",quezon
Naka-jackpot kami sa palengke dahil madami ang murang longganisa kaninang umaga. ,quezon
"Huwag kang pabebe riyan, bilisan mo ang pag-load ng mga niyog sa trak. ",quezon
Naka-iskor kami ng libreng meryenda galing doon sa may-ari ng gilingan. ,quezon
"Huwag kang praning, ligtas naman iwan ang sasakyan mo diyan sa tabi ng daan. ",quezon
Naka-freebie ang buong grupo ng malamig na buko juice dahil sa init ng panahon. ,quezon
"Huwag kang pasikat sa harap ng mga bisita, nakakahiya naman ang kilos mo. ",quezon
Naka-score ng mataas na benta ang aking tiyuhin sa pagbebenta ng kopra ngayong buwan. ,quezon
Huwag kang umasta na parang boss kung bago ka pa lang dito sa pagawaan. ,quezon
Naka-benta sila ng madaming paninda dahil sa ganda ng dekorasyon sa Pahiyas. ,quezon
 ano man ang balita sa nawawalang dokumento sa opisina ng kapitan? ,quezon
 parang mainit man ang panahon ngayon pero masarap mamasyal sa bukid. ,quezon
" bale, kain man muna kayo ng nilagang kamote riyan sa may mesa. ",quezon
" kumbaga, hintay man muna kay nanay dahil may binabayaran pa siya sa loob. ",quezon
 parang malakas man ang hiyawan ng mga tao doon sa may covered court. ,quezon
" kumbaga, dito man muna kayo maupo habang wala pa ang sasakyan natin. ",quezon
" bale, saan man ang sakayan ng dyip na dadaan sa may unibersidad? ",quezon
 parang mahaba man ang pila ng mga sasakyan doon sa may checkpoint kanina. ,quezon
" ano, tara man sa may gilingan ng niyog mamaya pagkatapos ng meryenda. ",quezon
" kumbaga, kain man muna tayo ng tanghalian bago magpatuloy sa ating paglalakbay. ",quezon
" bale, saan man tayo pwedeng magpalipas ng ulan dito sa may tabi ng kalsada? ",quezon
 parang marami man ang naging ani ng mga magsasaka ngayong taon dito. ,quezon
Mag-log in ka muna sa government portal para ma-check mo ang status ng permit. ,quezon
I-check mo kung online na ang page ng munisipyo para sa update sa track schedule. ,quezon
Naka-receive kami ng text confirmation tungkol sa delivery ng mga kawayan kanina. ,quezon
I-print mo ang hard copy ng listahan ng mga kalahok para sa Pahiyas event. ,quezon
Naka-save ba sa flash drive ang records ng benta ng kopra para sa auditor? ,quezon
Mag-download ka muna ng form sa website bago ka pumunta sa town hall bukas. ,quezon
Naka-block ang mobile signal kapag nandoon ka na sa liblib na bahagi ng banahaw. ,quezon
I-forward mo sa email ko ang soft copy ng budget report para sa barangay project. ,quezon
Naka-schedule ang meeting natin sa next Thursday kasama ang agricultural officers. ,quezon
I-cancel mo ang booking ng truck dahil hindi pa tapos ang paggiling ng niyog. ,quezon
Naka-post sa facebook page ng bayan ang mga kailangan para sa business permit. ,quezon
I-verify mo muna sa online application kung pumasok na ang remittance ng buyer. ,quezon
